year,Northeast,Midwest,South,West
2018,110.9,172.6,630.3,336.1
2019,114.8,169.4,684.8,321.0
2020,111.5,191.6,735.5,341.0
2021,136.5,215.5,848.1,400.8
2022,142.1,205.8,834.1,370.6
